,price,Address,area,Bedrooms,Bathrooms
444,8900000.0,"Siddhartha Vihar, Ghaziabad, Siddhartha Vihar, Ghaziabad, Delhi NCR",1585.0,3.0,3.0
445,4800000.0,other,1225.0,3.0,2.0
446,10500000.0,other,1817.0,3.0,3.0
447,6200000.0,other,1315.0,3.0,2.0
448,6400000.0,other,1277.0,3.0,2.0
449,4400000.0,other,900.0,3.0,2.0
450,5800000.0,other,1260.0,2.0,2.0
451,9500000.0,other,1560.0,3.0,3.0
452,47000000.0,other,4500.0,3.0,3.0
453,8500000.0,other,920.0,2.0,2.0
454,15000000.0,other,2400.0,4.0,4.0
455,3000000.0,other,670.0,2.0,2.0
456,30000000.0,other,4000.0,4.0,4.0
457,2350000.0,other,710.0,2.0,2.0
458,15000000.0,other,1800.0,3.0,3.0
459,7800000.0,other,1295.0,2.0,2.0
460,14300000.0,other,1650.0,4.0,4.0
461,5300000.0,other,1125.0,2.0,2.0
462,2600000.0,"Raj Nagar Extension, Ghaziabad, Delhi NCR",800.0,2.0,2.0
463,11000000.0,other,1400.0,3.0,2.0
464,8500000.0,other,900.0,2.0,2.0
465,17000000.0,other,2150.0,3.0,3.0
466,14200000.0,other,1850.0,3.0,3.0
467,5500000.0,other,1200.0,3.0,2.0
468,3400000.0,other,600.0,2.0,2.0
469,7200000.0,other,1250.0,3.0,2.0
470,8700000.0,other,1450.0,3.0,3.0
471,9200000.0,"Sector 70A, Gurgaon, Delhi NCR",1420.0,2.0,2.0
472,3800000.0,other,1005.0,2.0,2.0
473,42500000.0,other,4500.0,3.0,5.0
474,6500000.0,"Noida Extension, Greater Noida, Delhi NCR",1620.0,3.0,3.0
475,7650000.0,other,1168.0,3.0,2.0
476,4500000.0,other,1107.0,2.0,2.0
477,8500000.0,other,1510.0,3.0,3.0
478,23500000.0,other,1800.0,4.0,3.0
479,4500000.0,other,955.0,2.0,2.0
480,6280000.0,"Noida Extension, Noida, Delhi NCR",1500.0,3.0,3.0
481,13899999.999999998,other,2060.0,3.0,3.0
482,8200000.0,"Sector 78, Noida, Sector 78, Noida, Delhi NCR",1550.0,3.0,3.0
483,13100000.0,other,1200.0,2.0,2.0
484,10000000.0,other,1250.0,2.0,2.0
485,6500000.0,other,1050.0,2.0,2.0
486,4500000.0,"Noida Extension, Noida, Delhi NCR",1055.0,2.0,2.0
487,14500000.0,other,2000.0,3.0,4.0
488,4000000.0,other,510.0,2.0,2.0
489,42500000.0,other,5500.0,6.0,7.0
490,20000000.0,other,2237.0,3.0,3.0
491,3100000.0,other,975.0,2.0,2.0
492,4800000.0,other,1245.0,3.0,2.0
493,6700000.0,other,1250.0,3.0,3.0
494,12500000.0,other,2320.0,3.0,3.0
495,27000000.0,other,2200.0,4.0,4.0
496,11500000.0,other,2300.0,3.0,4.0
497,9000000.0,other,1730.0,4.0,3.0
498,4500000.0,other,1250.0,3.0,3.0
499,2990000.0,other,840.0,2.0,2.0
500,6200000.0,other,1300.0,3.0,3.0
501,9500000.0,other,2184.0,4.0,4.0
502,14500000.0,other,2050.0,3.0,3.0
503,12500000.0,other,1650.0,3.0,3.0
504,7500000.0,other,1495.0,3.0,2.0
505,12000000.0,other,1730.0,3.0,3.0
506,5500000.0,other,1100.0,3.0,3.0
507,4300000.0,other,1250.0,3.0,2.0
508,4800000.0,other,1050.0,2.0,2.0
509,15000000.0,other,1350.0,3.0,3.0
510,13000000.0,"Sector 137, Noida, Sector 137, Noida, Delhi NCR",2275.0,4.0,4.0
511,6500000.0,other,1150.0,2.0,3.0
512,15000000.0,other,2250.0,4.0,4.0
513,3150000.0,other,1050.0,2.0,2.0
514,12500000.0,other,2120.0,3.0,3.0
515,4100000.0,"Greater Noida West, Greater Noida, Delhi NCR",1185.0,4.0,2.0
516,36000000.0,other,3700.0,6.0,6.0
517,5100000.0,other,1050.0,3.0,2.0
518,4500000.0,other,800.0,2.0,2.0
519,13400000.0,other,1755.0,2.0,3.0
520,11000000.0,other,1800.0,4.0,2.0
521,5250000.0,other,1535.0,3.0,3.0
522,14500000.0,other,2324.0,4.0,5.0
523,3200000.0,other,750.0,2.0,2.0
524,9600000.0,other,1760.0,3.0,4.0
525,10000000.0,other,1765.0,3.0,3.0
526,4850000.0,other,1090.0,3.0,2.0
527,8500000.0,other,1695.0,3.0,4.0
528,9800000.0,other,1437.0,3.0,3.0
529,6500000.0,other,1295.0,3.0,2.0
530,6700000.0,other,1277.0,2.0,2.0
